time (seconds),x,y,z
31.75,409,-6,-938
31.854,409,-6,-938
31.954,409,-6,-938
32.058,409,-6,-938
32.159,409,-6,-938
32.262,409,-6,-938
32.363,409,-6,-938
32.471,409,-6,-938
32.571,409,-6,-938
32.675,409,-6,-938
32.775,409,-6,-938
32.879,409,-6,-938
32.98,409,-6,-938
33.083,409,-6,-938
33.184,409,-6,-938
33.287,409,-6,-938
33.388,409,-6,-938
33.496,409,-6,-938
33.596,409,-6,-938
33.7,409,-6,-938
33.8,409,-6,-938
33.904,409,-6,-938
34.004,409,-6,-938
34.109,409,-6,-938
34.21,409,-6,-938
34.317,409,-6,-938
34.417,-112,672,-764
34.518,26,895,-495
34.621,1023,-194,194
34.721,-1023,316,316
34.821,-869,338,-421
34.922,-39,-397,-943
35.025,-1023,141,141
35.127,666,945,538
35.228,869,629,0
35.332,-1023,-76,76
35.433,946,31,-389
35.534,869,-80,-534
35.636,-1023,-175,175
35.738,-329,88,-965
35.84,254,-641,-756
35.942,-1023,-367,367
36.042,406,-226,-912
36.143,1023,-806,806
36.242,-1023,541,541
36.343,305,1023,305
36.444,360,-5,-958
36.546,-1023,-634,634
36.646,-268,1023,268
36.75,1015,734,722
36.85,-1023,-1006,1006
36.95,-1023,254,254
37.051,589,-530,-648
37.152,-77,-627,-805
37.254,-869,-44,-538
37.358,1023,-139,139
37.459,-79,215,-998
37.559,-869,678,0
37.66,130,-674,-759
37.764,-785,237,-612
37.867,-869,810,0
37.967,1023,11,11
38.07,-1023,-404,404
38.174,-148,448,-908
38.275,869,-54,-538
38.376,-1023,-194,194
38.476,-857,-411,-379
38.578,-81,-971,-312
38.678,-1023,692,692
38.778,895,323,-376
38.879,327,-812,-530
38.982,-869,-743,0
39.083,1023,303,303
39.184,738,218,-675
39.286,-1023,-1023,1023
39.39,36,-198,-1004
39.492,1023,-1023,1023
39.593,-1023,-199,199
39.696,207,998,-88
39.799,1023,-232,232
39.9,-1023,-287,287
40,1023,54,54
40.105,694,-52,-750
40.209,-869,-85,-534
40.308,1023,-170,170
40.408,-430,-42,-928
40.508,-869,-48,-538
40.611,1023,-207,207
40.712,507,1023,507
40.812,475,673,-607
40.913,483,-1023,483
41.012,314,949,-218
41.113,368,849,-437
41.227,315,-869,-439
41.329,-209,1023,209
41.43,-234,-281,-956
41.531,-222,-869,-493
41.633,-665,998,625
41.734,-445,-841,-376
41.837,-352,-869,-410
41.938,-454,1023,454
42.04,-306,-992,176
42.142,-390,-1023,390
42.243,-475,1023,475
42.346,-420,-1023,420
42.45,-528,-140,-865
42.55,-466,504,-759
42.653,-261,-869,-473
42.754,1023,-527,527
42.854,1023,-480,480
42.958,-1023,-448,448
43.062,508,-401,-793
43.163,853,-411,-388
43.266,-1023,-411,411
43.366,156,-1023,156
43.466,-523,-524,-706
43.567,-11,295,-980
43.667,1023,-922,922
43.768,-45,-576,-845
43.875,-45,-576,-845
43.975,-45,-576,-845
44.079,-45,-576,-845
44.179,360,-352,-891
44.28,383,-355,-880
44.383,185,-821,-582
44.484,-52,-453,-916
44.588,721,-266,-676
44.69,1023,-207,207
44.791,1023,-114,114
44.896,1023,-70,70
44.996,1023,-70,70
45.108,1023,-70,70
45.209,1023,-70,70
45.312,1023,-70,70
